user,hidden_time,time_to_completion,reach_end,last_ne_seen,raw_session_length,avg_nec_time,std_nec_time,med_nec_time,norm_avg_nec_time,norm_std_nec_time,session_length,SP,MP,LP,VLP,SWITCH_VIEW_BUTTON_CLICKED,PLAY_PAUSE_BUTTON_CLICKED,VIDEO_SCRUBBED,CHANGE_CHAPTER_BUTTON_CLICKED,FULLSCREEN_BUTTON_CLICKED,SUBTITLES_BUTTON_CLICKED,OVERLAY_BUTTON_CLICKED,VOLUME_CHANGED,REPEAT_BUTTON_CLICKED,BROWSER_VISIBILITY_CHANGE,BACK_BUTTON_CLICKED,NEXT_BUTTON_CLICKED,LINK_CHOICE_CLICKED,USER_SET_VARIABLE,SWITCH_VIEW_BUTTON_CLICKED_proportion,PLAY_PAUSE_BUTTON_CLICKED_proportion,VIDEO_SCRUBBED_proportion,CHANGE_CHAPTER_BUTTON_CLICKED_proportion,FULLSCREEN_BUTTON_CLICKED_proportion,SUBTITLES_BUTTON_CLICKED_proportion,OVERLAY_BUTTON_CLICKED_proportion,VOLUME_CHANGED_proportion,REPEAT_BUTTON_CLICKED_proportion,BROWSER_VISIBILITY_CHANGE_proportion,BACK_BUTTON_CLICKED_proportion,NEXT_BUTTON_CLICKED_proportion,LINK_CHOICE_CLICKED_proportion,USER_SET_VARIABLE_proportion,total_events
vtqn,0.0,1643.334,True,Closing credits,1714.146,61.21903571428573,33.10283941153489,58.1435,1.5803367004964817,0.9005696354402568,1714.146,4,1,4,25,0,0,0,2,0,0,1,0,0,0,4,58,0,0,0.0,0.0,0.0,0.0003076923076923077,0.0,0.0,0.00015384615384615385,0.0,0.0,0.0,0.0006153846153846154,0.008923076923076924,0.0,0.0,65
c095fb,411625.733,-47450.57000000001,True,Make step 25,364200.126,3051.8977599999985,14419.172537511035,84.289,44.49337307082953,205.1948715531569,-47425.60700000002,9,7,13,39,1,14,4,0,2,0,1,0,2,16,8,84,0,0,7.575757575757576e-05,0.0010606060606060607,0.00030303030303030303,0.0,0.00015151515151515152,0.0,7.575757575757576e-05,0.0,0.00015151515151515152,0.0012121212121212121,0.0006060606060606061,0.006363636363636364,0.0,0.0,132
gu13,0.0,2173.126,True,Closing credits,2262.644,80.80785714285716,52.197735637610535,66.7145,2.143942125769485,1.2739608269359195,2262.644,19,2,17,31,5,0,2,4,0,0,7,0,3,0,22,76,0,0,0.0004201680672268908,0.0,0.0001680672268907563,0.0003361344537815126,0.0,0.0,0.000588235294117647,0.0,0.00025210084033613445,0.0,0.0018487394957983194,0.006386554621848739,0.0,0.0,119
3owd,0.0,2419.536,True,Closing credits,2549.677,87.91927586206899,69.91827561882592,65.384,2.0155767929275843,1.20518197209243,2549.677,3,1,8,25,0,0,0,2,1,0,2,0,3,0,0,58,0,0,0.0,0.0,0.0,0.00030303030303030303,0.00015151515151515152,0.0,0.00030303030303030303,0.0,0.00045454545454545455,0.0,0.0,0.008787878787878787,0.0,0.0,66
asp5,0.0,1919.307,True,Closing credits,1957.171,69.8982142857143,59.514961844755085,56.823,1.6943483022153294,1.3406233096834004,1957.171,7,9,12,29,1,6,5,0,0,0,2,0,1,0,20,76,0,0,9.009009009009009e-05,0.0005405405405405405,0.0004504504504504504,0.0,0.0,0.0,0.00018018018018018018,0.0,9.009009009009009e-05,0.0,0.0018018018018018016,0.006846846846846847,0.0,0.0,111
db67b4,11863.369,2367.161,True,Closing credits,14345.145,85.57848275862065,58.56446784269438,64.664,2.221347507920055,1.5205354503143693,2481.776,4,1,3,30,0,0,0,0,0,0,0,0,4,3,6,60,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000547945205479452,0.000410958904109589,0.000821917808219178,0.00821917808219178,0.0,0.0,73
22ee8b,705.651,1084.047,True,Title sequence,77600.809,2668.6060344827583,11540.66250731133,42.481,31.867774871529157,161.55503675259928,76895.158,22,10,5,21,10,4,0,2,3,2,11,0,0,6,2,52,0,0,0.0010869565217391304,0.00043478260869565214,0.0,0.00021739130434782607,0.0003260869565217391,0.00021739130434782607,0.0011956521739130434,0.0,0.0,0.0006521739130434782,0.00021739130434782607,0.0056521739130434775,0.0,0.0,92
f0m8,0.0,1813.475,True,Make step 27,1994.836,73.68792592592592,47.13923043647044,60.389,1.7874807015326215,1.112235661733242,1994.836,3,3,5,29,1,2,2,0,0,0,1,0,4,0,2,56,0,0,0.00014705882352941175,0.0002941176470588235,0.0002941176470588235,0.0,0.0,0.0,0.00014705882352941175,0.0,0.000588235294117647,0.0,0.0002941176470588235,0.008235294117647058,0.0,0.0,68
0gpc,0.0,4139.025,True,Closing credits,4357.836,155.63464285714286,243.64696169387824,108.90350000000001,3.7213205084087333,4.221362176970758,4357.836,5,3,6,32,0,0,15,0,0,0,0,0,3,0,0,56,0,0,0.0,0.0,0.002027027027027027,0.0,0.0,0.0,0.0,0.0,0.00040540540540540544,0.0,0.0,0.007567567567567568,0.0,0.0,74
huvu,0.0,1896.127,True,Make step 26,1928.419,74.16938461538462,39.738091244738314,68.0135,1.936298946490886,1.316493071187314,1928.419,5,7,4,25,1,4,0,0,1,0,6,0,1,0,0,52,0,0,0.00015384615384615385,0.0006153846153846154,0.0,0.0,0.00015384615384615385,0.0,0.0009230769230769232,0.0,0.00015384615384615385,0.0,0.0,0.008,0.0,0.0,65
cxgq,0.0,0.0,False,Make step 17,2035.244,117.90764705882351,65.27019627665508,108.582,2.977475101818424,1.8513064761315836,2035.244,20,7,11,28,5,8,4,8,0,0,12,0,4,0,16,52,0,0,0.00045871559633027525,0.0007339449541284404,0.0003669724770642202,0.0007339449541284404,0.0,0.0,0.0011009174311926607,0.0,0.0003669724770642202,0.0,0.0014678899082568807,0.0047706422018348625,0.0,0.0,109
3b8e04,0.0,1690.853,True,Closing credits,1790.833,61.75286206896552,33.381731482048615,55.795,1.8504116306825171,2.1108591990310948,1790.833,25,14,8,23,13,2,4,4,0,0,17,0,2,1,10,60,0,0,0.001150442477876106,0.00017699115044247788,0.00035398230088495576,0.00035398230088495576,0.0,0.0,0.001504424778761062,0.0,0.00017699115044247788,8.849557522123894e-05,0.0008849557522123894,0.005309734513274337,0.0,0.0,113
18bcaf,3.07,2129.5139999999997,True,Closing credits,2236.771,77.02417241379312,54.399870108281135,64.132,2.4482216345328274,3.7760440023830215,2233.701,23,7,8,30,3,3,0,0,0,0,21,0,2,5,12,102,0,0,0.00020270270270270272,0.00020270270270270272,0.0,0.0,0.0,0.0,0.001418918918918919,0.0,0.00013513513513513514,0.00033783783783783786,0.0008108108108108109,0.006891891891891892,0.0,0.0,148
pfwm,0.0,2858.351,True,Closing credits,2931.607,104.69996428571429,79.1556708763913,81.877,2.7406964794113824,1.879217698093631,2931.607,10,6,2,29,4,0,4,0,0,1,5,1,2,0,4,58,0,0,0.0005063291139240507,0.0,0.0005063291139240507,0.0,0.0,0.00012658227848101267,0.0006329113924050633,0.00012658227848101267,0.00025316455696202533,0.0,0.0005063291139240507,0.007341772151898735,0.0,0.0,79
0df591,4511.758,713070.941,True,Closing credits,717672.37,24685.922137931037,130234.03452663666,67.61,352.4524056623195,1855.034464669001,713160.612,33,15,23,30,7,46,8,6,0,1,14,1,2,34,2,52,0,0,0.0004046242774566474,0.0026589595375722543,0.00046242774566473987,0.0003468208092485549,0.0,5.7803468208092484e-05,0.0008092485549132948,5.7803468208092484e-05,0.00011560693641618497,0.001965317919075145,0.00011560693641618497,0.0030057803468208095,0.0,0.0,173
h8nz,0.0,2069.866,True,Title sequence,3363.065,115.96772413793104,199.2934508349861,71.485,1.992673470016195,1.0572310724907792,3363.065,18,10,12,29,7,9,8,0,0,1,9,0,4,0,4,60,0,0,0.0006862745098039216,0.0008823529411764706,0.000784313725490196,0.0,0.0,9.80392156862745e-05,0.0008823529411764706,0.0,0.000392156862745098,0.0,0.000392156862745098,0.0058823529411764705,0.0,0.0,102
oe47,0.0,1722.157,True,Closing credits,1847.197,65.97125,34.739693411576866,57.414500000000004,1.6665953109294016,0.6992177959919483,1847.197,4,1,4,25,2,0,0,0,0,0,2,0,1,0,0,56,0,0,0.0003278688524590164,0.0,0.0,0.0,0.0,0.0,0.0003278688524590164,0.0,0.0001639344262295082,0.0,0.0,0.009180327868852459,0.0,0.0,61
czuv,0.0,3775.286,True,Closing credits,3876.701,138.4530357142857,224.711025166845,75.4125,3.39116211664166,5.689077906301403,3876.701,30,15,12,34,7,9,25,0,0,0,7,0,11,0,6,62,0,0,0.0005511811023622047,0.0007086614173228347,0.001968503937007874,0.0,0.0,0.0,0.0005511811023622047,0.0,0.0008661417322834645,0.0,0.00047244094488188977,0.004881889763779528,0.0,0.0,127
7nh2,0.0,2604.514,True,Closing credits,2788.88,99.24024999999999,81.99507292672486,75.435,2.5038923068698957,1.641296121850394,2788.88,5,5,2,32,3,0,0,0,0,0,6,0,4,0,2,58,0,0,0.000410958904109589,0.0,0.0,0.0,0.0,0.0,0.000821917808219178,0.0,0.000547945205479452,0.0,0.000273972602739726,0.007945205479452055,0.0,0.0,73
sf43,0.0,1683.534,True,Closing credits,1807.717,62.33475862068965,32.54308523793964,57.472,1.6498914055262008,0.8899660007996492,1807.717,8,6,2,27,3,0,0,4,1,1,8,0,0,0,0,56,0,0,0.000410958904109589,0.0,0.0,0.000547945205479452,0.000136986301369863,0.000136986301369863,0.001095890410958904,0.0,0.0,0.0,0.0,0.007671232876712329,0.0,0.0,73
mwgq,0.0,135373.023,True,Closing credits,135468.853,4837.959250000001,24843.352330558093,51.0615,69.49278520116113,353.78311904885993,135468.853,3,5,5,27,3,1,0,0,1,0,6,0,0,0,0,56,0,0,0.0004477611940298507,0.00014925373134328358,0.0,0.0,0.00014925373134328358,0.0,0.0008955223880597014,0.0,0.0,0.0,0.0,0.00835820895522388,0.0,0.0,67
8fc03f,2763.3,296.3030000000001,True,Closing credits,3646.975,85.0617931034483,81.15698725751106,60.443,1.9788874990736973,1.4670721854351827,883.6749999999997,17,11,9,26,5,2,5,12,0,0,14,0,2,13,6,58,0,0,0.00042735042735042735,0.00017094017094017097,0.00042735042735042735,0.0010256410256410256,0.0,0.0,0.0011965811965811966,0.0,0.00017094017094017097,0.0011111111111111111,0.0005128205128205128,0.004957264957264958,0.0,0.0,117
